Name,FundSize_Preqin,Sum_wtvpi,Sum_wirr_preqin,Firm_age,LogFundSize_Preqin,FundSize_Calvin,LogFundSize_Calvin,Log_Staffcount,Sum_wirr_all,MissingIRR,BuyoutFund,VCGrowthCapital,Diversified,Healthcare,Technology,ConsumerGoods,OtherIndustry,Public,HasESGonWebsite,E_navigationalpage,E_document,E_Portfoliocasestudies,E_Media,E_AdoptTCFD,E_SignatorytoICI,E_SignatoryNetZeroAsset,E_CarbonNeutralProtocolCert,S_navigationalpage,S_document,S_Portfoliocasestudies,S_Media,S_DEIpolicy,S_DEIcommittee,S_ChiefDiversityOfficer,S_SignatoryILPADiversity,S_SignatoryCEOAction,S_SponsorLevel20,S_10pctWomeninBoard,S_10pctWomeninLeadership,G_navigationalpage,G_document,G_Portfoliocasestudies,Other_ESGfund,Other_ESGmicrosite,Other_ESGdocument,Other_Portfoliocasestudies,Other_ESGMedia,Other_ESGsectionvisible,Other_ESGpolicy,Other_ESGreport,Other_ChiefESGofficer,Other_ESGcommittee,Other_SignatoryPRI,Other_AdoptAICGuidelines,Other_AdoptSASBstandards,Other_AlignwithSDGs,Other_SignatoryESGConvergence,Other_ESGAwards,E_HasDocumentsorPages,E_ALLSignatory,S_HasDEI,S_ALLSignatory,S_10PctWomenBoardExec,S_HasDocumentsorPages,G_HasDocumentsorPages,Other_HasESGHeadorCommittee,Other_ALLFramework,E_WeightedESGScore_1,S_WeightedESGScore_1,G_WeightedESGScore_1,Other_WeightedESGScore_1,Total_WeightedESGScore_1,E_WeightedESGScore_2,S_WeightedESGScore_2,G_WeightedESGScore_2,Other_WeightedESGScore_2,Total_WeightedESGScore_2,Total_WeightedESGScore_3,Total_WeightedESGScore_4,E_WeightedESGScore_5,S_WeightedESGScore_5,G_WeightedESGScore_5,Other_WeightedESGScore_5,Total_WeightedESGScore_5,Total_WeightedESGScore_6,Total_WeightedESGScore_7,Total_WeightedESGScore_8,E_GreenwashingScore_1,E_HasDocsOrMedia,E_GreenwashingScore_2,E_HasDocsOrMedia_2,S_GreenwashingScore_1,S_HasDocsOrMedia,S_GreenwashingScore_2,S_HasDocsOrMedia_2,High_Frameworks,Medium_Frameworks,Low_Frameworks,Low_Medium_Frameworks
Coatue Management,706.5,NA,NA,22,6.560323238372803,7021,8.856660842895508,5.049856185913086,47,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0
Carlyle Group,105691.3203125,0.12635429203510284,8.859728813171387,34,11.568278312683104,48441,10.78810214996338,6.795705795288086,8.859728813171387,0,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,7,0,3,1,1,0,1,7,3,5,5,2,1,0,1,0,1,0,1,0,0,1,0
Bregal Sagemount,5922,0.5334885120391846,4.817831993103027,9,8.686429977416992,6106,8.717026710510254,3.97029185295105,4.817831993103027,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0.4545454680919647,0.5,0.75,0.3846153914928436,3.8828670978546143,0.6000000238418579,0.4000000059604645,0.75,0.27272728085517883,3.895454645156861,4,2.0227272510528564,0.3333333432674408,0.4000000059604645,0.5,0.4000000059604645,3.1000001430511475,1.6333333253860474,2.8954546451568604,2.366666793823242,0,0,0,0,2,1,2,1,0,2,2,4
H.I.G. Capital,14308.919921875,0.6426466703414917,1.0936744213104248,28,9.568638801574709,14966,9.61353588104248,6.741700649261475,1.0936744213104248,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0
Advent International,81935.890625,0.3539446294307709,7.0389323234558105,37,11.313692092895508,25500,10.14643383026123,6.152732849121094,7.0389323234558105,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0.3636363744735718,0.5833333134651184,1,0,0,0.800000011920929,0.699999988079071,1,0,0,0,0,0.6666666865348816,0.800000011920929,1,0,0,0,0,0,3,1,0,1,2,1,1,1,0,0,0,0
Gryphon Investors,6283.7998046875,0.41874781250953674,4.284350395202637,26,8.74573040008545,5330,8.581106185913086,4.787491798400879,4.284350395202637,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0
Ridgemont Equity Partners,6560,0.3559068739414215,9.53269863128662,28,8.788745880126953,4604,8.434680938720703,4.077537536621094,9.53269863128662,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0
Sycamore Partners,8250,0.2317632287740707,-0.315151572227478,10,9.01796817779541,5968,8.694167137145996,4.174387454986572,-0.315151572227478,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0
Great Hill Partners,11000,0.6614344120025635,14.58937168121338,23,9.30565071105957,9382,9.1465482711792,4.2626800537109375,14.58937168121338,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.1666666716337204,0,0.2307692319154739,0.7948718070983887,0,0.20000000298023224,0,0.27272728085517883,0.9454545974731444,0,0.47272729873657227,0,0.20000000298023224,0,0.4000000059604645,1.2000000476837158,0.6000000238418579,0.7454545497894287,1,0,0,0,0,0,0,0,0,0,0,0,0
Clearlake Capital Group,781.5,NA,NA,15,6.661215305328369,42350,10.65372371673584,4.343805313110352,241.6199951171875,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0
Bain Capital,79736.40625,0.6872443556785583,7.743888854980469,37,11.286481857299805,38985,10.570932388305664,6.542471885681152,7.743888854980469,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0.5454545617103577,0.5,1,0.3846153914928436,4.405594348907471,0.800000011920929,0.6000000238418579,1,0.27272728085517883,5.145454406738281,1,2.672727346420288,0.6666666865348816,0.6000000238418579,1,0.4000000059604645,5,2.6666667461395264,3.7454545497894287,3.7333333492279057,2,1,0,1,2,1,1,1,1,1,0,1
HarbourVest Partners,80074.8984375,0.43199464678764343,8.491778373718262,39,11.29071807861328,11904,9.38463020324707,6.5191473960876465,8.491778373718262,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0.3636363744735718,0.4166666567325592,0,0,0,0,0.30000001192092896,0,0.4545454680919647,1.5090909004211426,0,0.7545454502105713,0,0.4000000059604645,0,0.6000000238418579,2,1,1.2090909481048584,1.600000023841858,0,0,0,0,2,1,2,1,2,0,1,0
Warburg Pincus,67861,0.2927454710006714,9.35482120513916,55,11.125216484069824,35010,10.46338939666748,6.511745452880859,9.35482120513916,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.3846153914928436,0.7692307829856873,0,0,0,0.27272728085517883,0.5454545617103577,1,0.27272728085517883,0,0,0,0.4000000059604645,0.800000011920929,0.4000000059604645,0.5454545617103577,0.800000011920929,0,0,0,0,0,0,0,0,0,1,0,1
